"GISJOIN","Geography","Y90Total","Y90A25to44","Y90A25to59","Y00Total","Y00A25to44","Y00A25to59","Y10total","Y10A25to44","Y10A25to59","place"
"G08000320","Acres Green CDP, Colorado",NA,NA,NA,3205,1116,1765,3007,878,1589,"00320"
"G08000620","Aetna Estates CDP, Colorado",NA,NA,NA,NA,NA,NA,834,244,410,"00620"
"G08000760","Aguilar town, Colorado",520,127,216,593,120,255,538,91,221,"00760"
"G08000870","Air Force Academy CDP, Colorado",9062,2099,2211,7526,1836,1982,6680,792,912,"00870"
"G08000925","Akron town, Colorado",1599,391,612,1711,401,688,1702,393,767,"00925"
"G08001090","Alamosa city, Colorado",7579,2128,2975,7960,1972,3164,8780,2084,3611,"01090"
"G08001145","Alamosa East CDP, Colorado",1389,463,624,1528,463,738,1458,313,658,"01145"
"G08001420","Allenspark CDP, Colorado",NA,NA,NA,496,136,298,528,88,261,"01420"
"G08001530","Alma town, Colorado",148,77,102,179,95,134,270,111,168,"01530"
"G08001640","Alpine CDP, Colorado",NA,NA,NA,NA,NA,NA,174,33,79,"01640"
"G08001740","Altona CDP, Colorado",NA,NA,NA,NA,NA,NA,501,73,236,"01740"
"G08001915","Amherst CDP, Colorado",NA,NA,NA,NA,NA,NA,58,12,24,"01915"
"G08002355","Antonito town, Colorado",875,225,343,873,202,360,781,167,349,"02355"
"G08002575","Applewood CDP, Colorado",11069,3465,5665,7123,1711,3422,7160,1567,3402,"02575"
"G08002905","Arboles CDP, Colorado",NA,NA,NA,232,48,120,280,40,119,"02905"
"G08003015","Aristocrat Ranchettes CDP, Colorado",NA,NA,NA,1254,366,626,1344,322,657,"03015"
"G08003235","Arriba town, Colorado",220,57,90,244,64,106,193,34,89,"03235"
"G08003455","Arvada city, Colorado",89235,31480,46669,102153,31009,52306,106433,26822,51854,"03455"
"G08003620","Aspen city, Colorado",5049,2709,3502,5914,2490,3910,6658,2365,3956,"03620"
"G08003730","Aspen Park CDP, Colorado",NA,NA,NA,874,304,514,882,175,499,"03730"
"G08003840","Atwood CDP, Colorado",NA,NA,NA,195,46,96,133,15,60,"03840"
"G08003950","Ault town, Colorado",1107,309,467,1432,416,648,1519,400,707,"03950"
"G08004000","Aurora city, Colorado",222103,89829,118209,276393,95990,143789,325078,99934,161819,"04000"
"G08004110","Avon town, Colorado",1798,970,1086,5561,2619,3286,6447,2872,3913,"04110"
"G08004165","Avondale CDP, Colorado",NA,NA,NA,754,170,313,674,150,281,"04165"
"G08004620","Bark Ranch CDP, Colorado",NA,NA,NA,NA,NA,NA,213,62,145,"04620"
